,Country,Total Gross,gross,continent
1,US & Canada,"$5,893,164,206 (60)",5893164206,NA
2,China,"$1,741,738,739 (9)",1741738739,AS
3,United Kingdom,"$722,401,438 (28)",722401438,EU
4,South Korea,"$583,913,939 (18)",583913939,AS
5,Brazil,"$448,587,322 (19)",448587322,SA
6,Mexico,"$448,078,800 (24)",448078800,NA
7,Australia,"$400,277,158 (26)",400277158,OC
8,France,"$378,978,670 (23)",378978670,EU
9,Russia/CIS,"$325,667,659 (20)",325667659,AS
10,Germany,"$317,270,173 (22)",317270173,EU
11,Japan,"$312,145,615 (16)",312145615,AS
12,Italy,"$240,975,452 (26)",240975452,EU
13,Spain,"$206,150,386 (26)",206150386,EU
14,India,"$175,015,065 (13)",175015065,AS
15,Philippines,"$135,227,386 (17)",135227386,AS
16,Hong Kong,"$134,210,581 (19)",134210581,AS
17,Taiwan,"$132,125,614 (18)",132125614,AS
18,Indonesia,"$112,406,641 (11)",112406641,AS
19,Malaysia,"$106,046,623 (14)",106046623,AS
20,Thailand,"$101,208,084 (15)",101208084,AS
21,Argentina,"$96,632,309 (21)",96632309,SA
22,Singapore,"$87,225,708 (17)",87225708,AS
23,Chile,"$74,876,798 (20)",74876798,SA
24,Colombia,"$74,314,997 (17)",74314997,SA
25,Netherlands,"$71,336,567 (22)",71336567,EU
26,Venezuela,"$64,297,276 (17)",64297276,SA
27,Sweden,"$64,040,586 (19)",64040586,EU
28,United Arab Emirates,"$60,737,326 (21)",60737326,AS
29,Denmark,"$51,994,707 (16)",51994707,EU
30,Norway,"$50,910,427 (22)",50910427,EU
31,Belgium,"$49,273,140 (19)",49273140,EU
32,New Zealand,"$49,030,836 (22)",49030836,OC
33,Turkey,"$48,635,355 (22)",48635355,AS
34,Poland,"$47,465,713 (21)",47465713,EU
35,Austria,"$42,857,458 (20)",42857458,EU
36,South Africa,"$38,481,268 (20)",38481268,AF
37,Peru,"$32,560,712 (14)",32560712,SA
38,Greece,"$31,112,302 (22)",31112302,EU
39,Ukraine,"$27,984,288 (16)",27984288,EU
40,Portugal,"$27,761,909 (21)",27761909,EU
41,Switzerland,"$25,773,348 (12)",25773348,EU
42,Czech Republic,"$24,069,299 (16)",24069299,EU
43,Finland,"$23,168,049 (19)",23168049,EU
44,Ecuador,"$22,180,933 (14)",22180933,SA
45,Hungary,"$21,258,729 (17)",21258729,EU
46,Vietnam,"$19,298,234 (5)",19298234,AS
47,Israel,"$15,311,138 (12)",15311138,AS
48,Bolivia,"$14,698,148 (16)",14698148,SA
49,Romania,"$11,896,515 (13)",11896515,EU
50,Russia,"$8,672,930 (1)",8672930,EU
51,Bulgaria,"$7,410,770 (17)",7410770,EU
52,Egypt,"$7,173,238 (14)",7173238,AF
53,Slovakia,"$7,088,607 (15)",7088607,EU
54,Croatia,"$5,321,008 (16)",5321008,EU
55,Iceland,"$4,988,488 (22)",4988488,EU
56,Uruguay,"$4,971,704 (18)",4971704,SA
58,Lebanon,"$3,841,806 (19)",3841806,AS
59,Paraguay,"$2,984,786 (3)",2984786,SA
60,Slovenia,"$2,788,675 (15)",2788675,EU
61,Kuwait,"$2,685,523 (3)",2685523,AS
62,Serbia and Montenegro,"$2,562,095 (17)",2562095,EU
63,Central America+,"$2,478,001 (2)",2478001,SA
64,Nigeria,"$2,370,234 (9)",2370234,AF
65,Lithuania,"$2,290,609 (12)",2290609,EU
67,South Africa/Nigeria,"$1,876,250 (2)",1876250,AF
68,Bahrain,"$1,232,294 (3)",1232294,AS
69,Panama,"$1,189,155 (2)",1189155,NA
70,East Africa,"$1,144,595 (10)",1144595,AF
71,Qatar,"$1,102,206 (1)",1102206,AS
72,Czech Republic/Slovakia,"$1,096,393 (3)",1096393,EU
73,Latvia,"$1,068,351 (8)",1068351,EU
74,Estonia,"$987,718 (8)",987718,EU
76,Dominican Republic,"$779,671 (1)",779671,NA
77,Jordan,"$715,160 (3)",715160,AS
79,Pakistan,"$665,551 (1)",665551,AS
80,Kenya,"$598,046 (3)",598046,AF
81,Oman,"$359,221 (1)",359221,AS
82,Jamaica,"$297,261 (1)",297261,NA
83,Ghana,"$126,054 (5)",126054,AF
84,Cyprus,"$125,668 (2)",125668,AS
85,Mongolia,"$100,575 (1)",100575,AS
