,quotes
0,Do I want to be a hero to my son? No. I would like to be a very real human being. That's hard enough.
1,"Robert Downey, Jr."
2,Son
3,Hero
4,Real
5,Enough
6,"If I could eat whatever I wanted every day, I would have Domino's pizza with pasta carbonara inside every slice. And at night, I would have Neapolitan ice cream until I felt absolutely toxic. And then I would drift off telling myself, 'It's going to be O.K... It's going to be O.K. you're going to train in the morning.'"
7,"Robert Downey, Jr."
8,Myself
9,Morning
10,Day
11,You
12,Life is just so painful and messy and hard and worth it and all that stuff.
13,"Robert Downey, Jr."
14,Life
15,Messy
16,Worth
17,Painful
18,"I think that we all do heroic things, but hero is not a noun, it's a verb."
19,"Robert Downey, Jr."
20,Hero
21,Think
22,Things
23,I Think
24,Heroic
25,"I always think part of success is being able to replicate results, taking what is interesting or viable about yourself as a professional person and seeing if you bring it into different situations with similar results."
26,"Robert Downey, Jr."
27,Success
28,You
29,Yourself
30,Think
31,"I think that the power is the principle. The principle of moving forward, as though you have the confidence to move forward, eventually gives you confidence when you look back and see what you've done."
32,"Robert Downey, Jr."
33,Confidence
34,You
35,Power
36,Look
37,It's hard to get out of the barrel. It's slippery around the edges and people are happy to see you fall back in.
38,"Robert Downey, Jr."
39,You
40,People
41,Happy
42,Fall
43,The lesson is that you can still make mistakes and be forgiven.
44,"Robert Downey, Jr."
45,Forgiveness
46,You
47,Mistakes
48,Lesson
49,Make
50,"If someone really takes a risk, it doesn't get dismissed. That's what happened when the Oscar was won posthumously by Heath Ledger, who did one of the definitive villain performances of all time. But it really has to be exceptional in defining everything we previously knew about the actress or the actor."
51,"Robert Downey, Jr."
52,Time
53,Villain
54,Someone
55,Everything
56,I don't want to be so confident in myself.
57,"Robert Downey, Jr."
58,Myself
59,Confident
60,Want
61,"Look, even bad years are pretty good years I think."
62,"Robert Downey, Jr."
63,Good
64,Look
65,Think
66,Bad
67,"In movies, people seem to be more emotional than they would ever be if that situation was actually happening to them."
68,"Robert Downey, Jr."
69,People
70,Situation
71,Movies
72,Emotional
73,Sometimes you just gotta be drop-kicked out of the nest.
74,"Robert Downey, Jr."
75,You
76,Sometimes
77,Just
78,Nest
79,Nothing's a break for me. Not even the breaks are breaks.
80,"Robert Downey, Jr."
81,Me
82,Nothing
83,Break
84,Breaks
85,I know very little about acting. I'm just an incredibly gifted faker.
86,"Robert Downey, Jr."
87,Know
88,Acting
89,Just
90,About
91,I want to give myself the freedom not to have to be projecting my whole life ahead.
92,"Robert Downey, Jr."
93,Life
94,Myself
95,Freedom
96,Want
97,"But I think Kiss Kiss, Bang Bang really got that thing where, if a movie reads really funny and then has some dramatic or violent or sinister stuff in it, you can't forget that primarily it has to be even funnier than you read it or that other stuff doesn't work."
98,"Robert Downey, Jr."
99,Funny
100,Work
101,You
102,Kiss
103,"Dad's Jewish and Irish, Mom's German and Scotch. I couldn't say I was anything. My last name isn't even Downey. My dad changed his name when he wanted to get into the Army and was underage. My real name is Robert Elias. I feel like I'm still looking for a home in some way."
104,"Robert Downey, Jr."
105,Home
106,Mom
107,Looking
108,Dad
109,When you have a good script you're almost in more trouble than when you have a terrible script.
110,"Robert Downey, Jr."
111,Good
112,You
113,Trouble
114,More
115,I've noticed that worrying is like praying for what you don't want to happen.
116,"Robert Downey, Jr."
117,You
118,Want
119,Happen
120,Like
121,I think life changes every year. This is just a little more comfortable.
122,"Robert Downey, Jr."
123,Life
124,Think
125,Life Changes
126,Year
127,"I was kind of like chasing my tail and trying to do the right thing, and was a little bit stupid. Or irresponsible, which is the same thing I guess. It's just been really busy and I had a lot of great opportunities."
128,"Robert Downey, Jr."
129,Stupid
130,Great
131,Busy
132,Do The Right Thing
133,I think you end up doing the stuff you were supposed to do at the time you were supposed to do it.
134,"Robert Downey, Jr."
135,Time
136,You
137,End
138,Think
139,I take some pride in... representing myself exactly how I would like to have my son remember me to his kids.
140,"Robert Downey, Jr."
141,Myself
142,Son
143,Me
144,Remember
145,I'm coming from a place of total strength and humility now.
146,"Robert Downey, Jr."
147,Strength
148,Humility
149,Place
150,Now
151,"In the marathon obstacle course of a career, it's just good to have all the stats on paper for why you're not only a team player but also why it makes sense to support you in the projects you want to do - because you've made so much damned money for the studio."
152,"Robert Downey, Jr."
153,Good
154,Money
155,You
156,Support
