,USA,World
1980,1.38191,3.6362323120618
1981,1.69888,3.99729239693415
1982,2.13626,
1983,2.13626,
1984,2.31459,4.47918336277373
1985,2.58165,4.74458574186194
1986,2.81105,5.20270807545062
1987,2.88157,5.88232134900086
1988,2.93093,6.2675204401278
1989,3.04085,6.4528074561460995
1990,3.0617,6.9987193310713
1991,2.80292,6.84889250256954
1992,3.05141,7.16572906091713
1993,2.97637,6.86018855225004
1994,2.88059,6.94624154010703
1995,2.78856,7.172773809130841
1996,2.71417,7.1563709778004085
1997,2.76325,7.1442838733423795
1998,2.74278,6.9636544885259495
1999,2.80969,7.093167990068191
2000,3.01697,7.29523124741144
2001,3.12743,7.418447630581579
2002,3.5672,8.014999799096099
2003,4.15223,9.36571157486521
2004,4.64676,10.576678621144
2005,5.03353,11.4582744610968
2006,5.2766,11.8806280418548
2007,5.56961,13.187846499985
2008,6.21131,14.9063581265994
2009,6.68567,15.4644640778575
2010,6.9818,16.2916944781519
2011,7.11338,17.3307381835078
2012,6.8478,17.3901517345998
2013,6.39704,17.4119037495884
2014,6.09914,17.4195140115568
2015,5.96104639,16.4053594590473
2016,6.00106443,16.3121835410122
2017,6.05802927,16.9578390358905
2018,6.48798273,17.8235087975692
